# Nmap 7.99 scan initiated Wed Apr 29 11:24:02 2026 as: /usr/lib/nmap/nmap --privileged -sS -o 3.0.txt 192.168.3.0/24
Warning: 192.168.3.11 giving up on port because retransmission cap hit (10).
Nmap scan report for 192.168.3.1
Host is up (0.10s latency).
Not shown: 685 closed tcp ports (reset)
PORT      STATE SERVICE
12265/tcp open  unknown
13782/tcp open  netbackup
13783/tcp open  netbackup
15660/tcp open  bex-xr
16992/tcp open  amt-soap-http
18101/tcp open  unknown
20031/tcp open  unknown
21571/tcp open  unknown
24800/tcp open  unknown
27355/tcp open  unknown
31337/tcp open  Elite
32768/tcp open  filenet-tms
32781/tcp open  unknown
34572/tcp open  unknown
49156/tcp open  unknown
49400/tcp open  compaqdiag
50002/tcp open  iiimsf
50006/tcp open  unknown
50300/tcp open  unknown
50636/tcp open  unknown
51103/tcp open  unknown
54328/tcp open  unknown
56737/tcp open  unknown
60020/tcp open  unknown
61532/tcp open  unknown
65129/tcp open  unknown

Nmap scan report for 192.168.3.11
Host is up (0.063s latency).
Not shown: 753 filtered tcp ports (no-response)
PORT      STATE SERVICE
6/tcp     open  unknown
21/tcp    open  ftp
22/tcp    open  ssh
24/tcp    open  priv-mail
30/tcp    open  unknown
49/tcp    open  tacacs
109/tcp   open  pop2
125/tcp   open  locus-map
211/tcp   open  914c-g
389/tcp   open  ldap
417/tcp   open  onmux
425/tcp   open  icad-el
443/tcp   open  https
515/tcp   open  printer
541/tcp   open  uucp-rlogin
543/tcp   open  klogin
593/tcp   open  http-rpc-epmap
616/tcp   open  sco-sysmgr
625/tcp   open  apple-xsrvr-admin
646/tcp   open  ldp
666/tcp   open  doom
667/tcp   open  disclose
683/tcp   open  corba-iiop
720/tcp   open  unknown
749/tcp   open  kerberos-adm
765/tcp   open  webster
787/tcp   open  qsc
873/tcp   open  rsync
900/tcp   open  omginitialrefs
990/tcp   open  ftps
1002/tcp  open  windows-icfw
1007/tcp  open  unknown
1027/tcp  open  IIS
1028/tcp  open  unknown
1036/tcp  open  nsstp
1041/tcp  open  danf-ak2
1044/tcp  open  dcutility
1046/tcp  open  wfremotertm
1047/tcp  open  neod1
1049/tcp  open  td-postman
1051/tcp  open  optima-vnet
1052/tcp  open  ddt
1056/tcp  open  vfo
1059/tcp  open  nimreg
1062/tcp  open  veracity
1080/tcp  open  socks
1085/tcp  open  webobjects
1087/tcp  open  cplscrambler-in
1088/tcp  open  cplscrambler-al
1098/tcp  open  rmiactivation
1099/tcp  open  rmiregistry
1100/tcp  open  mctp
1102/tcp  open  adobeserver-1
1107/tcp  open  isoipsigport-2
1114/tcp  open  mini-sql
1117/tcp  open  ardus-mtrns
1119/tcp  open  bnetgame
1122/tcp  open  availant-mgr
1137/tcp  open  trim
1141/tcp  open  mxomss
1148/tcp  open  elfiq-repl
1151/tcp  open  unizensus
